TBH | Thái Bình
CBG | Cao Bằng
CTO | Cần Thơ
DNG | Đà Nẵng
DLK | Đắk Lắk
DCN | Đắk Nông
DBN | Điện Biên
DNI | Đồng Nai
DTP | Đồng Tháp
GLI | Gia Lai
HGG | Hà Giang
HNM | Hà Nam
HNI | Hà Nội
HTH | Hà Tĩnh
HDG | Hải Dương
HPG | Hải Phòng
HUG | Hậu Giang
HCM | Hồ Chí Minh
TTH | Thừa Thiên - Huế
BLU | Bạc Liêu
BKN | Bắc Kạn
BNH | Bắc Ninh
BTE | Bến Tre
BDG | Bình Dương
BDH | Bình Định
BPC | Bình Phước
BTN | Bình Thuận
CMU | Cà Mau
TNH | Tây Ninh
LAN | Long An
TVH | Trà Vinh
AGG | An Giang
KGG | Kiên Giang
STG | Sóc Trăng
VTU | Bà Rịa - Vũng Tàu
TQG | Tuyên Quang
TNN | Thái Nguyên
LSN | Lạng Sơn
BGG | Bắc Giang
LCU | Lai Châu
LCI | Lào Cai
YBI | Yên Bái
SLA | Sơn La
PTO | Phú Thọ
VPC | Vĩnh Phúc
QNH | Quảng Ninh
HYN | Hưng Yên
NDH | Nam Định
HBH | Hoà Bình
NBH | Ninh Bình
THA | Thanh Hóa
NAN | Nghệ An
QBH | Quảng Bình
QTI | Quảng Trị
QNM | Quảng Nam
QNI | Quảng Ngãi
KTM | Kon Tum
PYN | Phú Yên
KHA | Khánh Hòa
LDG | Lâm Đồng
NTN | Ninh Thuận
TGG | Tiền Giang
VLG | Vĩnh Long
